Designator,Mid X,Mid Y,Layer,Rotation
C1,96.0000mm,-38.0000mm,top,0
C2,44.0000mm,-46.0000mm,top,0
C3,38.0000mm,-70.0000mm,top,0
C4,52.0000mm,-70.0000mm,top,0
C5,28.0000mm,-56.0000mm,top,0
C6,28.0000mm,-60.0000mm,top,0
C7,50.0000mm,-46.0000mm,top,0
C11,38.0000mm,-58.0000mm,top,0
C12,52.0000mm,-58.0000mm,top,0
C13,38.0000mm,-63.0000mm,top,0
C14,52.0000mm,-63.0000mm,top,0
D2,36.0000mm,-39.0000mm,top,180
F1,37.0000mm,-46.0000mm,top,0
F2,68.0000mm,-46.0000mm,top,0
F3,75.0000mm,-46.0000mm,top,0
F4,66.0000mm,-66.0000mm,top,0
F5,74.0000mm,-66.0000mm,top,0
J1,74.0000mm,-26.0000mm,top,180
J2,96.0000mm,-26.0000mm,top,180
J3,32.7660mm,-22.6556mm,top,0
R1,56.0000mm,-46.0000mm,top,0
R2,62.0000mm,-46.0000mm,top,0
R3,28.0000mm,-64.0000mm,top,0
R4,60.0000mm,-70.0000mm,top,0
R5,66.0000mm,-70.0000mm,top,0
R6,73.0000mm,-70.0000mm,top,0
R7,28.0000mm,-68.0000mm,top,0
U1,90.0000mm,-49.0000mm,top,180
U5,91.0000mm,-59.0000mm,top,270
U6,67.0000mm,-39.0000mm,top,270
U7,74.0000mm,-39.0000mm,top,270
U8,66.0000mm,-60.0000mm,top,270
U9,74.0000mm,-60.0000mm,top,270
Y1,91.0000mm,-69.0000mm,top,0
